PlayerName	Salary	AtBat	Hits	CAtBat	CHits	HmRun	CHmRun	Years	League	Division
-Alan Ashby	475	315	81	3449	835	7	69	14	N	W
-Alvin Davis	480	479	130	1624	457	18	63	3	A	W
-Andre Dawson	500	496	141	5628	1575	20	225	11	N	E
-Andres Galarraga	91.5	321	87	396	101	10	12	2	N	E
-Alfredo Griffin	750	594	169	4408	1133	4	19	11	A	W
-Al Newman	70	185	37	214	42	1	1	2	N	E
-Argenis Salazar	100	298	73	509	108	0	0	3	A	W
-Andres Thomas	75	323	81	341	86	6	6	2	N	W
-Andre Thornton	1100	401	92	5206	1332	17	253	13	A	E
-Alan Trammell	517.143	574	159	4631	1300	21	90	10	A	E
-Alex Trevino	512.5	202	53	1876	467	4	15	9	N	W
-Andy VanSlyke	550	418	113	1512	392	13	41	4	N	E
-Alan Wiggins	700	239	60	1941	510	0	4	6	A	E
-Bill Almon	240	196	43	3231	825	7	36	13	N	E
-Buddy Bell	775	568	158	8068	2273	20	177	15	N	W
-Buddy Biancalana	175	190	46	479	102	2	5	5	A	W
-Bruce Bochy	135	127	32	727	180	8	24	8	N	W
-Barry Bonds	100	413	92	413	92	16	16	1	N	E
-Bobby Bonilla	115	426	109	426	109	3	3	1	A	W
-Bob Brenly	600	472	116	1924	489	16	67	6	N	W
-Bill Buckner	776.667	629	168	8424	2464	18	164	18	A	E
-Brett Butler	765	587	163	2695	747	4	17	6	A	E
-Bob Dernier	708.333	324	73	1931	491	4	13	7	N	E
-Bo Diaz	750	474	129	2331	604	10	61	10	N	W
-Bill Doran	625	550	152	2308	633	6	32	5	N	W
-Brian Downing	900	513	137	5201	1382	20	166	14	A	W
-Billy Hatcher	110	419	108	591	149	6	8	3	N	W
-Brook Jacoby	612.5	583	168	1646	452	17	44	5	A	E
-Bob Kearney	300	204	49	1309	308	6	27	7	A	W
-Bill Madlock	850	379	106	6207	1906	10	146	14	N	W
-Bob Melvin	90	268	60	350	78	5	5	2	N	W
-BillyJo Robidoux	67.5	181	41	232	50	1	4	2	A	E
-Bill Schroeder	180	217	46	694	160	7	32	4	A	E
-Chris Bando	305	254	68	999	236	2	21	6	A	E
-Chris Brown	215	416	132	932	273	7	24	3	N	W
-Carmen Castillo	247.5	205	57	756	192	8	32	5	A	E
-Chili Davis	815	526	146	2648	715	13	77	6	N	W
-Carlton Fisk	875	457	101	6521	1767	14	281	17	A	W
-Curt Ford	70	214	53	226	59	2	2	2	N	E
