species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,49.1,14.5,212,4625,female,2009
Gentoo,Biscoe,49.8,15.9,229,5950,male,2009
Gentoo,Biscoe,48.8,16.2,222,6000,male,2009
Adelie,Biscoe,38.1,16.5,198,3825,female,2009
Adelie,Biscoe,35,17.9,192,3725,female,2009
Gentoo,Biscoe,46.7,15.3,219,5200,male,2007
Gentoo,Biscoe,50.8,17.3,228,5600,male,2009
Chinstrap,Dream,45.4,18.7,188,3525,female,2007
Adelie,Biscoe,41.3,21.1,195,4400,male,2008
Adelie,Dream,38.9,18.8,190,3600,female,2008
Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
Chinstrap,Dream,46.9,16.6,192,2700,female,2008
Adelie,Dream,37,16.5,185,3400,female,2009
Gentoo,Biscoe,42.9,13.1,215,5000,female,2007
Chinstrap,Dream,51.3,19.9,198,3700,male,2007
Chinstrap,Dream,45.7,17.3,193,3600,female,2009
Gentoo,Biscoe,48.7,14.1,210,4450,female,2007
Adelie,Dream,37.3,16.8,192,3000,female,2009
Chinstrap,Dream,46.1,18.2,178,3250,female,2007
Adelie,Torgersen,36.6,17.8,185,3700,female,2007
Adelie,Torgersen,39.6,17.2,196,3550,female,2008
Adelie,Biscoe,40.1,18.9,188,4300,male,2008
Chinstrap,Dream,48.1,16.4,199,3325,female,2009
Adelie,Biscoe,43.2,19,197,4775,male,2009
Gentoo,Biscoe,47.5,14,212,4875,female,2009
Adelie,Dream,40.7,17,190,3725,male,2009
Gentoo,Biscoe,47.6,14.5,215,5400,male,2007
Adelie,Torgersen,40.2,17,176,3450,female,2009
Gentoo,Biscoe,47.3,15.3,222,5250,male,2007
Adelie,Biscoe,45.6,20.3,191,4600,male,2009
Chinstrap,Dream,46.6,17.8,193,3800,female,2007
Adelie,Biscoe,37.7,16,183,3075,female,2009
Adelie,Torgersen,36.7,18.8,187,3800,female,2008
Chinstrap,Dream,49.2,18.2,195,4400,male,2007
Chinstrap,Dream,51,18.8,203,4100,male,2008
Adelie,Dream,40.8,18.9,208,4300,male,2008
Gentoo,Biscoe,51.3,14.2,218,5300,male,2009
Adelie,Biscoe,37.8,20,190,4250,male,2009
Adelie,Dream,36.8,18.5,193,3500,female,2009
Gentoo,Biscoe,53.4,15.8,219,5500,male,2009
Chinstrap,Dream,46.5,17.9,192,3500,female,2007
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
Chinstrap,Dream,48.5,17.5,191,3400,male,2007
Adelie,Dream,40.9,18.9,184,3900,male,2007
Adelie,Dream,38.3,19.2,189,3950,male,2008
Gentoo,Biscoe,45.3,13.8,208,4200,female,2008
Adelie,Biscoe,38.6,17.2,199,3750,female,2009
Gentoo,Biscoe,46.8,15.4,215,5150,male,2007
Chinstrap,Dream,46,18.9,195,4150,female,2007
Gentoo,Biscoe,45.2,14.8,212,5200,female,2009
Adelie,Dream,36,17.9,190,3450,female,2007
Adelie,Torgersen,40.3,18,195,3250,female,2007
Gentoo,Biscoe,46.5,14.8,217,5200,female,2008
Gentoo,Biscoe,47.2,15.5,215,4975,female,2009
Gentoo,Biscoe,46.4,15,216,4700,female,2008
Gentoo,Biscoe,49.5,16.1,224,5650,male,2009
Chinstrap,Dream,49,19.6,212,4300,male,2009
Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
Chinstrap,Dream,50.8,18.5,201,4450,male,2009
Adelie,Torgersen,42.9,17.6,196,4700,male,2008
Adelie,Biscoe,37.8,18.3,174,3400,female,2007
Adelie,Biscoe,41.6,18,192,3950,male,2008
Gentoo,Biscoe,46.8,16.1,215,5500,male,2009
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
Gentoo,Biscoe,48.1,15.1,209,5500,male,2009
Adelie,Torgersen,40.6,19,199,4000,male,2009
Adelie,Biscoe,35.5,16.2,195,3350,female,2008
Gentoo,Biscoe,55.9,17,228,5600,male,2009
Adelie,Biscoe,41.1,19.1,188,4100,male,2008
Adelie,Dream,37.6,19.3,181,3300,female,2007
Gentoo,Biscoe,42,13.5,210,4150,female,2007
Gentoo,Biscoe,46.2,14.1,217,4375,female,2009
Chinstrap,Dream,53.5,19.9,205,4500,male,2008
Adelie,Dream,36.3,19.5,190,3800,male,2008
Adelie,Dream,36,18.5,186,3100,female,2007
Adelie,Dream,40.3,18.5,196,4350,male,2008
Adelie,Biscoe,37.6,17,185,3600,female,2008
Gentoo,Biscoe,45.1,14.5,207,5050,female,2007
Adelie,Dream,41.3,20.3,194,3550,male,2008
Adelie,Torgersen,44.1,18,210,4000,male,2009
Adelie,Torgersen,37.7,19.8,198,3500,male,2009
Adelie,Biscoe,36.4,17.1,184,2850,female,2008
Chinstrap,Dream,47.6,18.3,195,3850,female,2008
Adelie,Dream,37.3,17.8,191,3350,female,2008
Chinstrap,Dream,50.2,18.8,202,3800,male,2009
Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
Gentoo,Biscoe,48.7,15.7,208,5350,male,2008
Adelie,Biscoe,37.9,18.6,193,2925,female,2009
Gentoo,Biscoe,49.4,15.8,216,4925,male,2009
Adelie,Biscoe,35.9,19.2,189,3800,female,2007
Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
Adelie,Biscoe,37.6,19.1,194,3750,male,2008
Chinstrap,Dream,49.7,18.6,195,3600,male,2008
Adelie,Torgersen,39.1,18.7,181,3750,male,2007
Chinstrap,Dream,52,18.1,201,4050,male,2007
Adelie,Biscoe,39,17.5,186,3550,female,2008
Adelie,Dream,36.5,18,182,3150,female,2007
Gentoo,Biscoe,51.5,16.3,230,5500,male,2009
Adelie,Dream,39.6,18.1,186,4450,male,2008
Gentoo,Biscoe,49,16.1,216,5550,male,2007
Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
Gentoo,Biscoe,45.2,13.8,215,4750,female,2008
Adelie,Torgersen,41.1,18.6,189,3325,male,2009
Gentoo,Biscoe,43.2,14.5,208,4450,female,2008
Adelie,Biscoe,39.6,17.7,186,3500,female,2008
Gentoo,Biscoe,45.3,13.7,210,4300,female,2008
Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
Adelie,Biscoe,39.7,17.7,193,3200,female,2009
Adelie,Dream,42.2,18.5,180,3550,female,2007
Chinstrap,Dream,49,19.5,210,3950,male,2008
Adelie,Dream,32.1,15.5,188,3050,female,2009
Adelie,Dream,36,17.8,195,3450,female,2009
Adelie,Dream,40.2,20.1,200,3975,male,2009
Chinstrap,Dream,46.7,17.9,195,3300,female,2007
Adelie,Dream,37.5,18.5,199,4475,male,2009
Adelie,Dream,39.2,18.6,190,4250,male,2009
Gentoo,Biscoe,41.7,14.7,210,4700,female,2009
Adelie,Torgersen,41.1,17.6,182,3200,female,2007
Adelie,Biscoe,39.7,18.9,184,3550,male,2009
Gentoo,Biscoe,45.8,14.6,210,4200,female,2007
Gentoo,Biscoe,45.4,14.6,211,4800,female,2007
Adelie,Biscoe,38.1,17,181,3175,female,2009
Gentoo,Biscoe,52.2,17.1,228,5400,male,2009
Gentoo,Biscoe,49.1,15,228,5500,male,2009
Gentoo,Biscoe,50.4,15.7,222,5750,male,2009
Adelie,Torgersen,35.7,17,189,3350,female,2009
Adelie,Dream,40.2,17.1,193,3400,female,2009
Adelie,Dream,37,16.9,185,3000,female,2007
Adelie,Torgersen,34.6,21.1,198,4400,male,2007
Gentoo,Biscoe,50.1,15,225,5000,male,2008
Adelie,Torgersen,42.1,19.1,195,4000,male,2008
Gentoo,Biscoe,44.9,13.3,213,5100,female,2008
Adelie,Torgersen,38.8,17.6,191,3275,female,2009
Adelie,Dream,36.2,17.3,187,3300,female,2008
Chinstrap,Dream,46.4,18.6,190,3450,female,2007
Gentoo,Biscoe,49.6,16,225,5700,male,2008
Adelie,Torgersen,38.7,19,195,3450,female,2007
Chinstrap,Dream,42.5,16.7,187,3350,female,2008
Chinstrap,Dream,51.3,19.2,193,3650,male,2007
Chinstrap,Dream,50.9,17.9,196,3675,female,2009
Adelie,Biscoe,40.5,18.9,180,3950,male,2007
Adelie,Dream,39,18.7,185,3650,male,2009
Gentoo,Biscoe,44,13.6,208,4350,female,2008
Adelie,Biscoe,41,20,203,4725,male,2009
Adelie,Torgersen,37.2,19.4,184,3900,male,2008
Gentoo,Biscoe,49.6,15,216,4750,male,2008
Adelie,Dream,35.6,17.5,191,3175,female,2009
Adelie,Torgersen,45.8,18.9,197,4150,male,2008
Gentoo,Biscoe,54.3,15.7,231,5650,male,2008
Adelie,Biscoe,40.5,17.9,187,3200,female,2007
